Episode,AvgReward,WinRate_Boss,Epsilon
5000,95.45,98.3,0.0500
10000,124.89,99.2,0.0500
15000,121.21,98.8,0.0500
20000,117.94,98.6,0.0500
25000,122.49,99.2,0.0500
30000,128.01,99.1,0.0500
35000,123.35,99.3,0.0500
40000,122.03,99.6,0.0500
45000,114.64,99.2,0.0500
50000,121.18,99.3,0.0500
55000,123.12,99.4,0.0500
60000,123.18,99.7,0.0500
65000,123.95,99.4,0.0500
70000,122.67,99.5,0.0500
75000,119.75,99.5,0.0500
80000,119.32,99.4,0.0500
85000,125.83,99.6,0.0500
90000,126.18,99.6,0.0500
95000,123.38,99.3,0.0500
100000,116.36,99.3,0.0500
105000,119.64,99.5,0.0500
110000,124.67,99.3,0.0500
115000,123.89,99.4,0.0500
120000,118.17,99.3,0.0500
125000,90.65,99.3,0.0500
130000,118.31,99.6,0.0500
135000,115.18,99.6,0.0500
140000,116.74,99.3,0.0500
145000,119.28,99.3,0.0500
150000,123.29,99.3,0.0500
155000,118.68,99.5,0.0500
160000,117.89,99.5,0.0500
165000,116.89,99.5,0.0500
170000,115.89,99.5,0.0500
175000,119.30,99.4,0.0500
180000,116.02,99.4,0.0500
185000,119.19,99.5,0.0500
190000,117.35,99.6,0.0500
195000,119.40,99.5,0.0500
200000,119.49,99.3,0.0500
